Date,Price
"Mar 31, 2020",1578.93
"Mar 30, 2020",1616.7
"Mar 27, 2020",1627.56
"Mar 26, 2020",1626.32
"Mar 25, 2020",1611.15
"Mar 24, 2020",1634.4
"Mar 23, 2020",1567.03
"Mar 20, 2020",1498.39
"Mar 19, 2020",1471.47
"Mar 18, 2020",1498.75
"Mar 17, 2020",1537.79
"Mar 16, 2020",1507.2
"Mar 13, 2020",1529.29
"Mar 12, 2020",1576.95
"Mar 11, 2020",1643.42
"Mar 10, 2020",1652.5
"Mar 09, 2020",1666.61
"Mar 06, 2020",1674.52
"Mar 05, 2020",1674.67
"Mar 04, 2020",1636.48
"Mar 03, 2020",1645.88
"Mar 02, 2020",1592.23
"Feb 28, 2020",1586.46
"Feb 27, 2020",1645.57
"Feb 26, 2020",1643.74
"Feb 25, 2020",1640.23
"Feb 24, 2020",1653.8
"Feb 21, 2020",1643.62
"Feb 20, 2020",1622.3
"Feb 19, 2020",1610.51
"Feb 18, 2020",1600.97
"Feb 17, 2020",1584.23
"Feb 14, 2020",1583.89
"Feb 13, 2020",1577.48
"Feb 12, 2020",1570.28
"Feb 11, 2020",1567.2
"Feb 10, 2020",1572.06
"Feb 07, 2020",1570.41
"Feb 06, 2020",1565.89
"Feb 05, 2020",1556.1
"Feb 04, 2020",1554.04
"Feb 03, 2020",1578.96
"Jan 31, 2020",1589.4
"Jan 30, 2020",1575.21
"Jan 29, 2020",1577.2
"Jan 28, 2020",1568.59
"Jan 27, 2020",1581.17
"Jan 24, 2020",1571.56
"Jan 23, 2020",1561.04
"Jan 22, 2020",1561.45
"Jan 21, 2020",1556.56
"Jan 20, 2020",1561.31
"Jan 17, 2020",1557.3
"Jan 16, 2020",1552.27
"Jan 15, 2020",1556.35
"Jan 14, 2020",1549.6
"Jan 13, 2020",1545.44
"Jan 10, 2020",1562.05
"Jan 09, 2020",1552.72
"Jan 08, 2020",1557.89
"Jan 07, 2020",1595.24
"Jan 06, 2020",1563.83
"Jan 03, 2020",1552.24
"Jan 02, 2020",1528.95
"Jan 01, 2020",1519.5
"Dec 31, 2019",1517.24
"Dec 30, 2019",1515.02
"Dec 27, 2019",1511.08
"Dec 26, 2019",1511.16
"Dec 25, 2019",1499.55
"Dec 24, 2019",1498.18
"Dec 23, 2019",1485.56
"Dec 20, 2019",1478.15
"Dec 19, 2019",1478.5
"Dec 18, 2019",1475.84
"Dec 17, 2019",1475.7
"Dec 16, 2019",1475.41
"Dec 13, 2019",1475.64
"Dec 12, 2019",1465.11
"Dec 11, 2019",1474.7
"Dec 10, 2019",1464
"Dec 09, 2019",1461.2
"Dec 06, 2019",1460.12
"Dec 05, 2019",1476.04
"Dec 04, 2019",1475.62
"Dec 03, 2019",1476.83
"Dec 02, 2019",1462.75
"Nov 29, 2019",1463.96
"Nov 28, 2019",1456.15
"Nov 27, 2019",1457.1
"Nov 26, 2019",1460.66
"Nov 25, 2019",1453.9
"Nov 22, 2019",1462.36
"Nov 21, 2019",1465.23
"Nov 20, 2019",1474.52
"Nov 19, 2019",1474.5
"Nov 18, 2019",1471.83
"Nov 15, 2019",1468
"Nov 14, 2019",1469.3
"Nov 13, 2019",1463.65
"Nov 12, 2019",1458.49
"Nov 11, 2019",1455.72
"Nov 08, 2019",1458.7
"Nov 07, 2019",1468.79
"Nov 06, 2019",1490.34
"Nov 05, 2019",1484.31
"Nov 04, 2019",1506.8
"Nov 01, 2019",1513.9
"Oct 31, 2019",1512.25
"Oct 30, 2019",1495.37
"Oct 29, 2019",1487.39
"Oct 28, 2019",1491.81
"Oct 25, 2019",1504.44
"Oct 24, 2019",1502.81
"Oct 23, 2019",1492.21
"Oct 22, 2019",1488.91
"Oct 21, 2019",1484.23
"Oct 18, 2019",1490.25
"Oct 17, 2019",1492.89
"Oct 16, 2019",1490.13
"Oct 15, 2019",1482
"Oct 14, 2019",1491.34
"Oct 11, 2019",1489.8
"Oct 10, 2019",1494.1
"Oct 09, 2019",1514.59
"Oct 08, 2019",1508.8
"Oct 07, 2019",1492.11
"Oct 04, 2019",1504.81
"Oct 03, 2019",1508.4
"Oct 02, 2019",1500.11
"Oct 01, 2019",1481.82
"Sep 30, 2019",1473.72
"Sep 27, 2019",1496.93
"Sep 26, 2019",1506.85
"Sep 25, 2019",1506.52
"Sep 24, 2019",1531.8
"Sep 23, 2019",1520.93
"Sep 20, 2019",1517.1
"Sep 19, 2019",1499.8
"Sep 18, 2019",1491.2
"Sep 17, 2019",1500.85
"Sep 16, 2019",1497.9
"Sep 13, 2019",1483.2
