Feb. 29, 2020	1.70%
Jan. 31, 2020	1.80%
Dec. 31, 2019	1.30%
Nov. 30, 2019	1.50%
Oct. 31, 2019	1.50%
Sept. 30, 2019	1.70%
Aug. 31, 2019	1.70%
July 31, 2019	2.10%
June 30, 2019	2.00%
May 31, 2019	2.00%
April 30, 2019	2.10%
March 31, 2019	1.90%
Feb. 28, 2019	1.90%
Jan. 31, 2019	1.80%
Dec. 31, 2018	2.10%
Nov. 30, 2018	2.30%
Oct. 31, 2018	2.40%
Sept. 30, 2018	2.40%
Aug. 31, 2018	2.70%
July 31, 2018	2.50%
June 30, 2018	2.40%
May 31, 2018	2.40%
April 30, 2018	2.40%
March 31, 2018	2.50%
Feb. 28, 2018	2.70%
Jan. 31, 2018	3.00%
Dec. 31, 2017	3.00%
Nov. 30, 2017	3.10%
Oct. 31, 2017	3.00%
Sept. 30, 2017	3.00%
Aug. 31, 2017	2.90%
July 31, 2017	2.60%
June 30, 2017	2.60%
May 31, 2017	2.90%
April 30, 2017	2.70%
March 31, 2017	2.30%
Feb. 28, 2017	2.30%
Jan. 31, 2017	1.80%
Dec. 31, 2016	1.60%
Nov. 30, 2016	1.20%
Oct. 31, 2016	0.90%
Sept. 30, 2016	1.00%
Aug. 31, 2016	0.60%
July 31, 2016	0.60%
June 30, 2016	0.50%
May 31, 2016	0.30%
April 30, 2016	0.30%
March 31, 2016	0.50%
Feb. 29, 2016	0.30%
Jan. 31, 2016	0.30%
Dec. 31, 2015	0.20%
Nov. 30, 2015	0.10%
Oct. 31, 2015	-0.10%
Sept. 30, 2015	-0.10%
Aug. 31, 2015	0.00%
July 31, 2015	0.10%
June 30, 2015	0.00%
May 31, 2015	0.10%
April 30, 2015	-0.10%
March 31, 2015	0.00%
Feb. 28, 2015	0.00%
Jan. 31, 2015	0.30%
Dec. 31, 2014	0.50%
Nov. 30, 2014	1.00%
Oct. 31, 2014	1.30%
Sept. 30, 2014	1.20%
Aug. 31, 2014	1.50%
July 31, 2014	1.60%
June 30, 2014	1.90%
May 31, 2014	1.50%
April 30, 2014	1.80%
March 31, 2014	1.60%
Feb. 28, 2014	1.70%
Jan. 31, 2014	1.90%
Dec. 31, 2013	2.00%
Nov. 30, 2013	2.10%
Oct. 31, 2013	2.20%
Sept. 30, 2013	2.70%
Aug. 31, 2013	2.70%
July 31, 2013	2.80%
Oct. 31, 2011	5.00%
Sept. 30, 2011	5.20%
Aug. 31, 2011	4.50%
July 31, 2011	4.40%
June 30, 2011	4.20%
May 31, 2011	4.50%
April 30, 2011	4.50%
March 31, 2011	4.00%
Feb. 28, 2011	4.40%
Jan. 31, 2011	4.00%
Dec. 31, 2010	3.70%
Nov. 30, 2010	3.30%
Oct. 31, 2010	3.20%
Sept. 30, 2010	3.10%
Aug. 31, 2010	3.10%
July 31, 2010	3.10%
June 30, 2010	3.20%
May 31, 2010	3.40%
April 30, 2010	3.70%
March 31, 2010	3.40%
Feb. 28, 2010	3.00%
Jan. 31, 2010	3.50%
