March 31, 2020	1.54%
Feb. 29, 2020	2.33%
Jan. 31, 2020	2.49%
Dec. 31, 2019	2.29%
Nov. 30, 2019	2.05%
Oct. 31, 2019	1.76%
Sept. 30, 2019	1.71%
Aug. 31, 2019	1.75%
July 31, 2019	1.81%
June 30, 2019	1.65%
May 31, 2019	1.79%
April 30, 2019	2.00%
March 31, 2019	1.86%
Feb. 28, 2019	1.52%
Jan. 31, 2019	1.55%
Dec. 31, 2018	1.91%
Nov. 30, 2018	2.18%
Oct. 31, 2018	2.52%
Sept. 30, 2018	2.28%
Aug. 31, 2018	2.70%
July 31, 2018	2.95%
June 30, 2018	2.87%
May 31, 2018	2.80%
April 30, 2018	2.46%
March 31, 2018	2.36%
Feb. 28, 2018	2.21%
Jan. 31, 2018	2.07%
Dec. 31, 2017	2.11%
Nov. 30, 2017	2.20%
Oct. 31, 2017	2.04%
Sept. 30, 2017	2.23%
Aug. 31, 2017	1.94%
July 31, 2017	1.73%
June 30, 2017	1.63%
May 31, 2017	1.87%
April 30, 2017	2.20%
March 31, 2017	2.38%
Feb. 28, 2017	2.74%
Jan. 31, 2017	2.50%
Dec. 31, 2016	2.07%
Nov. 30, 2016	1.69%
Oct. 31, 2016	1.64%
Sept. 30, 2016	1.46%
Aug. 31, 2016	1.06%
July 31, 2016	0.83%
June 30, 2016	1.00%
May 31, 2016	1.02%
April 30, 2016	1.13%
March 31, 2016	0.85%
Feb. 29, 2016	1.02%
Jan. 31, 2016	1.37%
Dec. 31, 2015	0.73%
Nov. 30, 2015	0.50%
Oct. 31, 2015	0.17%
Sept. 30, 2015	-0.04%
Aug. 31, 2015	0.20%
July 31, 2015	0.17%
June 30, 2015	0.12%
May 31, 2015	-0.04%
April 30, 2015	-0.20%
March 31, 2015	-0.07%
Feb. 28, 2015	-0.03%
Jan. 31, 2015	-0.09%
Dec. 31, 2014	0.76%
Nov. 30, 2014	1.32%
Oct. 31, 2014	1.66%
Sept. 30, 2014	1.66%
Aug. 31, 2014	1.70%
July 31, 2014	1.99%
June 30, 2014	2.07%
May 31, 2014	2.13%
April 30, 2014	1.95%
March 31, 2014	1.51%
Feb. 28, 2014	1.13%
Jan. 31, 2014	1.58%
Dec. 31, 2013	1.50%
Nov. 30, 2013	1.24%
Oct. 31, 2013	0.96%
Sept. 30, 2013	1.18%
Aug. 31, 2013	1.52%
July 31, 2013	1.96%
June 30, 2013	1.75%
May 31, 2013	1.36%
April 30, 2013	1.06%
March 31, 2013	1.47%
Feb. 28, 2013	1.98%
Jan. 31, 2013	1.59%
Dec. 31, 2012	1.74%
Nov. 30, 2012	1.76%
Oct. 31, 2012	2.16%
Sept. 30, 2012	1.99%
Aug. 31, 2012	1.69%
July 31, 2012	1.41%
June 30, 2012	1.66%
May 31, 2012	1.70%
April 30, 2012	2.30%
March 31, 2012	2.65%
Feb. 29, 2012	2.87%
Jan. 31, 2012	2.93%
Dec. 31, 2011	2.96%
Nov. 30, 2011	3.39%
Oct. 31, 2011	3.53%
Sept. 30, 2011	3.87%
Aug. 31, 2011	3.77%
July 31, 2011	3.63%
June 30, 2011	3.56%
May 31, 2011	3.57%
April 30, 2011	3.16%
March 31, 2011	2.68%
Feb. 28, 2011	2.11%
Jan. 31, 2011	1.63%
Dec. 31, 2010	1.50%
Nov. 30, 2010	1.14%
Oct. 31, 2010	1.17%
Sept. 30, 2010	1.14%
Aug. 31, 2010	1.15%
July 31, 2010	1.24%
June 30, 2010	1.05%
May 31, 2010	2.02%
April 30, 2010	2.24%
March 31, 2010	2.31%
Feb. 28, 2010	2.14%
Jan. 31, 2010	2.63%
